排名,名称,评分,评价人数,影评,链接
161,惊魂记,9.0,297891人评价,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
162,黑客帝国3：矩阵革命,8.8,449925人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
163,你的名字。,8.5,1418925人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
164,电锯惊魂,8.8,537020人评价,真相就在眼前。,https://movie.douban.com/subject/1417598/
165,三块广告牌,8.7,825420人评价,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/
166,达拉斯买家俱乐部,8.8,455417人评价,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
167,疯狂原始人,8.7,844223人评价,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
168,心迷宫,8.7,525475人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
169,谍影重重3,8.8,421192人评价,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
170,英雄本色,8.6,545182人评价,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
171,上帝之城,9.0,302982人评价,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
172,风之谷,8.9,356560人评价,动画片的圣经。,https://movie.douban.com/subject/1291585/
173,纵横四海,8.8,428686人评价,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
174,卢旺达饭店,8.9,332083人评价,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
175,海街日记,8.8,452236人评价,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/
176,爱在午夜降临前,8.9,406287人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
177,绿里奇迹,8.9,332390人评价,天使暂时离开。,https://movie.douban.com/subject/1300374/
178,记忆碎片,8.7,607450人评价,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
179,小丑,8.7,1012988人评价,暂无,https://movie.douban.com/subject/27119724/
180,疯狂的石头,8.6,828047人评价,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
181,岁月神偷,8.7,576461人评价,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
182,背靠背，脸对脸,9.5,135889人评价,暂无,https://movie.douban.com/subject/1307856/
